source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string
cA,cA,1,7.458571134e-315,0.8777894296223481,0.8777894296223481,o->,"(0,-1) o-> (0,0)"
cA,cA,2,2.705047810448942e-53,-0.4628568672124683,0.4628568672124683,o->,"(0,-2) o-> (0,0)"
cA,cA,3,0.0010742037645437288,0.10426198644861773,0.10426198644861773,o->,"(0,-3) o-> (0,0)"
cB,cB,1,0.0,0.9980924142102245,0.9980924142102245,o->,"(1,-1) o-> (1,0)"
cB,cB,2,1.5090274834690214e-217,-0.7952013630889623,0.7952013630889623,o->,"(1,-2) o-> (1,0)"
cB,cB,3,7.36197314728302e-99,0.6017758092560823,0.6017758092560823,o->,"(1,-3) o-> (1,0)"
theta,theta,1,1.066374191952087e-168,0.734719111651281,0.734719111651281,-->,"(2,-1) --> (2,0)"
theta,theta,2,1.3412565008983138e-25,-0.32380243616103876,0.32380243616103876,-->,"(2,-2) --> (2,0)"
theta,thetaK,0,7.864187033065099e-48,0.4389184206349861,0.4389184206349861,x-x,"(2,0) x-x (3,0)"
theta,thetaK,2,4.088499169931327e-06,0.1458888232418786,0.1458888232418786,-->,"(2,-2) --> (3,0)"
theta,thetaK,3,7.338131808269239e-08,0.1699558366831783,0.1699558366831783,-->,"(2,-3) --> (3,0)"
theta,theta0,0,1.1592536898813746e-62,0.4959958095538165,0.4959958095538165,<->,"(2,0) <-> (7,0)"
thetaK,theta,0,7.864187033065099e-48,0.4389184206349861,0.4389184206349861,x-x,"(3,0) x-x (2,0)"
thetaK,thetaK,1,3.402667271531028e-12,-0.21890250997902277,0.21890250997902277,-->,"(3,-1) --> (3,0)"
thetaK,QK,0,1.5606411343470574e-19,0.28183539674851155,0.28183539674851155,<->,"(3,0) <-> (5,0)"
thetaK,theta0,0,0.000137949263731783,0.12079515702412322,0.12079515702412322,<->,"(3,0) <-> (7,0)"
F,F,1,2.7873921217727248e-148,0.7020443159257892,0.7020443159257892,-->,"(4,-1) --> (4,0)"
QK,thetaK,0,1.5606411343470574e-19,0.28183539674851155,0.28183539674851155,<->,"(5,0) <-> (3,0)"
QK,QK,1,2.8657964202696506e-142,0.6917468196677524,0.6917468196677524,-->,"(5,-1) --> (5,0)"
cA0,cA0,1,1.6155600749485805e-149,0.7038618075055293,0.7038618075055293,-->,"(6,-1) --> (6,0)"
theta0,cA,3,5.432193772501971e-11,-0.20604869004636978,0.20604869004636978,<->,"(7,-3) <-> (0,0)"
theta0,theta,0,1.1592536898813746e-62,0.4959958095538165,0.4959958095538165,<->,"(7,0) <-> (2,0)"
theta0,theta,1,5.890608967816282e-08,0.17160970360465064,0.17160970360465064,<->,"(7,-1) <-> (2,0)"
theta0,theta,2,1.8728664641696803e-05,-0.13548751139079798,0.13548751139079798,<->,"(7,-2) <-> (2,0)"
theta0,thetaK,0,0.000137949263731783,0.12079515702412322,0.12079515702412322,<->,"(7,0) <-> (3,0)"
theta0,thetaK,2,0.006031046721991099,-0.08722024673831008,0.08722024673831008,<->,"(7,-2) <-> (3,0)"
theta0,theta0,1,1.7930399740166648e-116,0.6422637229325726,0.6422637229325726,-->,"(7,-1) --> (7,0)"
