t,T1,T2,T3,T4,C,P,H,u1,u2,u3,u4
0,22,22,22,22,22,0,0,2.9963209507789,0,0,0
0.5,24.0572462730889,22.0045988913903,22.0007798211145,22.0010044263599,22.0468850229726,0.578145258617327,0.0808579251354765,2.9963209507789,0,0,0
1,25.7662041504432,22.0206498877598,22.0053789969153,22.006871531291,22.1618287279555,0.91049986061765,0.168980097405083,0,0,0,0
1.5,25.1669580113603,22.0484561043247,22.0149456139446,22.0189134586402,22.2723861681518,0.534634521327758,0.254454548363091,0,0,0,0
2,24.6824552725346,22.0838192325083,22.0272880107415,22.0341678413113,22.3412387292281,0.322426315300438,0.326123428179428,0,0,0,0
2.5,24.2897323013414,22.1221075516922,22.0404070727503,22.0500295792216,22.3824934464721,0.202596800042244,0.374455035928052,0,0,0,0
3,23.9688614992084,22.1592672880131,22.0531240820977,22.0650302379213,22.4043899202044,0.1348161844069,0.394598217451285,0,0,0,0
3.5,23.7036374456788,22.1920489171638,22.0647267414268,22.0783345900945,22.411812887904,0.0959393951829023,0.388007907410026,0,0,0,0
4,23.4812888507882,22.2183163657915,22.0747797153599,22.0894748186304,22.4081023115894,0.0726159544132279,0.362176666165611,0,0,0,0
4.5,23.2925296855074,22.2373336290264,22.0830526306582,22.098246822414,22.3960995712479,0.0577598389206112,0.328903374473073,0,0,0,0
5,23.1312379983483,22.2497943245021,22.0894778934484,22.1046477246067,22.3787936368334,0.0477536557297067,0.301157502138184,0,0,0,0
5.5,22.9938546906472,22.2575480550675,22.0941408439126,22.1088586006682,22.3593540294673,0.0410570602388925,0.289714244716189,0,0,0,0
6,22.8786020289746,22.2631263714536,22.0972629318327,22.1112192924764,22.3408754426323,0.0372265185713639,0.30056886758041,0,0,0,0
6.5,22.7844536934337,22.2690658948484,22.0991671982937,22.1121813146347,22.325918253267,0.0360925825597065,0.33321899234823,0,0,0,0
7,22.7102317811549,22.2772718210786,22.1002286815087,22.1122436694455,22.316045238357,0.0373625468510516,0.380911273456555,0,0,0,0
7.5,22.6539530200607,22.2885534379927,22.10081072523,22.11187284873,22.3115377867822,0.0404469060063384,0.432672625679497,0,0,0,0
8,22.6126065989638,22.3024935787257,22.1012122424467,22.1114385122321,22.3114155203727,0.0444579259376148,0.47604043065476,0,0,0,0
8.5,22.5822639922465,22.3175772062901,22.1016210278869,22.1111587667476,22.3137083867717,0.0483388680143163,0.500502318525528,0,0,0,0
9,22.558589823433,22.3316353560021,22.1020919567389,22.111078427227,22.3159947049065,0.051104211307832,0.500500674147208,0,0,0,0
9.5,22.5375597288333,22.3424706657465,22.1025605552706,22.1110919232672,22.3160432664565,0.0520815456877434,0.476850638818884,0,0,0,0
10,22.5162032417874,22.3485115872987,22.1028841132176,22.11100030174,22.3124253096843,0.0510880867586029,0.436592884961353,0,0,0,0
10.5,22.4930906854825,22.3492626674019,22.1028987653536,22.1105860537078,22.3048762021069,0.0484694413409332,0.391180897199647,0,0,0,0
11,22.4687022027642,24.285784865531,22.1026324663996,22.1098874083274,22.3127951833777,0.613749614535284,0.353484820208078,0,5.85595153449124,0,0
11.5,22.4484248802048,27.7668756583964,22.1052027290937,22.1129043232697,22.427290787801,1.38340988674923,0.333716733299488,0,5.85595153449124,0,0
12,22.4391334897481,28.8006568773328,22.1145672235571,22.1245625570546,22.6011424041794,1.26175179535201,0.337534414345058,0,0,0,0
12.5,22.4411642278935,27.8316879546554,22.1293579142789,22.1428424985025,22.7108731564193,0.742788615789654,0.364134251843796,0,0,0,0
13,22.4512730196734,27.017804860597,22.1458131084469,22.1627879380094,22.7647613393721,0.446961117826468,0.406720874308859,0,0,0,0
13.5,22.4668403581136,26.3337671820585,22.161594711493,22.1814257038069,22.7846132456218,0.278118781829203,0.454131192816731,0,0,0,0
14,22.4853004291668,25.7582658314425,22.1755595945485,22.197399347386,22.7836853893736,0.182561427458632,0.493788515309434,0,0,0,0
14.5,22.5037343017183,25.2727444771493,22.1871997522254,22.2101878000098,22.7696073941684,0.128788749882791,0.515195874654636,0,0,0,0
15,22.5190809862557,24.860958564835,22.1963358911349,22.2196868243686,22.7464488953127,0.0980895125094535,0.51270155705367,0,0,0,0
15.5,22.5286794820726,24.5090864345356,22.2029521708346,22.2259862817068,22.7162877017317,0.0796743384353137,0.487109791113698,0,0,0,0
16,22.5308786750625,24.2058591453337,22.2071087002306,22.2292549336805,22.6805433479986,0.0674319551929197,0.445374698383962,0,0,0,0
16.5,22.5254539010591,23.9426461621147,22.2089243501806,22.2297189957076,22.6407808573107,0.0582421855787516,0.39866953532279,0,0,0,0
17,22.5136969904405,23.7133475453207,22.2085850644971,22.2276733949593,22.5990433341436,0.0509413653318115,0.359633986400699,0,0,0,0
17.5,22.4981651044181,23.514002433201,22.2063578236396,22.223500016384,22.5578719848464,0.0453677363963731,0.338798117493249,0,0,0,0
18,22.4820703450143,23.3421454516694,22.2025951037364,22.2176731148093,22.5199254980776,0.0417811041644825,0.341773934797566,0,0,0,0
